  Year,   Mon,   Day,   HRU,              Precip,               Irrig,                Seep,                 PET,                  ET,               WeirH,              Wtrdep,               WeirQ,                  SW,              Sedcon,              SedYld,              NO3Con,              NO3Yld,                 LAI,                 SALT
  2010,     1,     1,   331,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   332,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.3,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   333,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   334,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   335,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   336,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   337,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   338,                 0.0,                 0.0,                 0.0,                 0.2,                 0.1,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   339,                 0.0,                 0.0,                 0.0,                 0.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
  2010,     1,     1,   340,                 0.0,                 0.0,                 0.0,                 0.2,                 0.0,                 0.0,                 0.0,                 0.0,                 0.1,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,                 0.0,
